
List of delisted and no longer trading American stocks (through Aug-06)

Sources of delisted stock price and fundamental data:

csidata.com		US/Canada/UK price data
emphasisdata.com	US price data and fundamentals 

Description                                                                     	Exch.	Delist	Ticker
MEADOWCRAFT INC                                                                 	NYSE	Jun-99	MWI
MEANS SERVICES INC                                                              	AMEX	Apr-82	MNS
MEASUREX CORP                                                                   	NYSE	Feb-97	MX
MECHANICAL DYNAMICS INC                                                         	NASDAQ	May-02	MDII
MECHANICAL FINANCIAL INC                                                        	NASDAQ	Jun-00	MECH
MECKLERMEDIA CORP                                                               	NASDAQ	Nov-98	MECK
MECON INC                                                                       	NASDAQ	Feb-00	MECN
MED EMERG INTERNATIONAL INC                                                     	NASDAQ	Jun-01	MDER
MED GEN INC                                                                     	NASDAQ	Apr-80	MGNL
MED PAK CORP                                                                    	NASDAQ	Feb-81	MDPK
MED WASTE INC                                                                   	NASDAQ	Jun-99	MWDS
MEDALIST INDUSTRIES INC                                                         	NASDAQ	May-96	MDIN
MEDALLIANCE INC                                                                 	NASDAQ	Nov-95	MDAL
MEDALLION GROUP INC                                                             	AMEX	Dec-79	MGX
MEDALLION LEISURE CORP                                                          	AMEX	Nov-75	MLC
MEDCAN INC                                                                      	NASDAQ	Apr-85	MDCN
MEDCARE TECHNOLOGIES INC                                                        	NASDAQ	Oct-00	MCAR
MEDCATH INC                                                                     	NASDAQ	Jul-98	MCTH
MEDCHEM PRODUCTS INC                                                            	NYSE	Sep-95	MCH
MEDCO CONTAINMENT SVCS INC                                                      	NASDAQ	Nov-93	MCCS
MEDCO GROUP INC                                                                 	NASDAQ	Apr-88	MEDG
MEDCO JEWELRY CORP                                                              	AMEX	Jun-79	MEO
MEDCO RESEARCH INC                                                              	NYSE	Feb-00	MRE
MEDCOM INC                                                                      	NASDAQ	May-82	MEDC
MEDCOM U S A INC                                                                	NASDAQ	Jun-01	EMED
MEDCOR INC                                                                      	NASDAQ	Sep-81	MDCR
MEDCROSS INC                                                                    	NASDAQ	Oct-91	MDCR
Med-Design Corporation (The)                                                    	NASDAQ	Jun-06	MEDC
MEDE AMERICA CORP                                                               	NASDAQ	Nov-99	MEDE
MEDENTA CORP                                                                    	NASDAQ	Feb-92	MDEN
MEDEQUIP CORP                                                                   	NASDAQ	Nov-73	n/a
MEDERA LIFE SCIENCE CORP                                                        	NASDAQ	Dec-98	MEDRF
MEDEVA PLC                                                                      	NYSE	Jan-00	MDV
MEDEX INC                                                                       	NASDAQ	Jan-97	MDEX
MEDFAX INC                                                                      	NASDAQ	Aug-73	n/a
MEDFIELD CORP                                                                   	AMEX	Feb-79	MED
MEDFORD BANCORP INC                                                             	NASDAQ	Oct-02	MDBK
MEDFORD CORP                                                                    	NASDAQ	Oct-84	MFRD
MEDGROUP INC CA                                                                 	NASDAQ	May-95	MDGP
MEDI HUT CO INC                                                                 	NASDAQ	Mar-03	MHUT
MEDI JECT CORP                                                                  	NASDAQ	Feb-01	MEDJ
MEDI RX AMERICA INC                                                             	NASDAQ	May-88	MDRX
MEDIA 100 INC                                                                   	NASDAQ	Nov-03	MDEA
MEDIA ARTS GROUP INC                                                            	NYSE	Jan-04	MDA
MEDIA CREATIONS LTD                                                             	NASDAQ	Mar-74	n/a
MEDIA DEVELOPMENT INDS INC                                                      	NASDAQ	Mar-91	MDIL
MEDIA HORIZONS INC                                                              	NASDAQ	Jul-86	MEDIA
MEDIA LOGIC INC                                                                 	AMEX	Oct-98	TST
MEDIA PRODUCTS INC                                                              	NASDAQ	Oct-89	MDPI
MEDIA VISION TECHNOLOGY INC                                                     	NASDAQ	Dec-94	MVIS
MediaBay, Inc.                                                                  	NASDAQ	Nov-05	MBAYD
MEDIAGENIC                                                                      	NASDAQ	Mar-91	MGNC
MEDIAN MORTGAGE INVESTORS                                                       	NASDAQ	Oct-73	n/a
MEDIAONE GROUP INC                                                              	NYSE	Jun-00	UMG
MEDIAPLEX INC                                                                   	NASDAQ	Oct-01	MPLX
MEDIC COMPUTER SYSTEMS INC                                                      	NASDAQ	Nov-97	MCSY
MEDIC HOME ENTERPRISES INC                                                      	NASDAQ	Nov-74	MHOM
MEDICAL ANALYTICS INC                                                           	NASDAQ	Mar-73	n/a
MEDICAL CARE AMERICA INC                                                        	NYSE	Sep-94	MRX
MEDICAL CARE INTERNATIONAL INC                                                  	NYSE	Sep-92	ME
MEDICAL COMPUTER SYSTEMS INC                                                    	NASDAQ	May-78	MDCS
MEDICAL DEPOT INC                                                               	NASDAQ	Mar-91	MEDD
MEDICAL DEVICE TECHNOLOGIES INC                                                 	NASDAQ	Mar-98	MEDD
MEDICAL DIAGNOSTICS INC                                                         	NASDAQ	Aug-95	MDIX
MEDICAL DIVERSIFIED INC                                                         	AMEX	Jul-02	MED
